  59  19  5
   20.00  254.00   7.50 8000.  0.99 0.120E+07 0.0     0.050
           0.      10.      20.      30.      40.
    0.200      0.          0.          0.          0.          0.    
    0.420  0.1925E-04  0.1893E-04  0.1649E-04  0.1318E-04  0.1075E-04
    0.662  0.8408E-03  0.8086E-03  0.7554E-03  0.6764E-03  0.5754E-03
    0.928  0.5234E-02  0.5092E-02  0.4790E-02  0.4378E-02  0.3808E-02
    1.221  0.1612E-01  0.1569E-01  0.1497E-01  0.1387E-01  0.1235E-01
    1.543  0.3450E-01  0.3374E-01  0.3240E-01  0.3038E-01  0.2752E-01
    1.897  0.6028E-01  0.5908E-01  0.5700E-01  0.5402E-01  0.4958E-01
    2.287  0.9246E-01  0.9078E-01  0.8798E-01  0.8402E-01  0.7806E-01
    2.716  0.1296      0.1274      0.1240      0.1191      0.1117    
    3.187  0.1704      0.1677      0.1636      0.1581      0.1494    
    3.706  0.2134      0.2102      0.2056      0.1996      0.1899    
    4.277  0.2576      0.2538      0.2490      0.2426      0.2322    
    4.905  0.3020      0.2978      0.2928      0.2862      0.2752    
    5.595  0.3460      0.3414      0.3360      0.3296      0.3184    
    6.354  0.3890      0.3838      0.3786      0.3722      0.3610    
    7.190  0.4306      0.4250      0.4196      0.4136      0.4026    
    8.109  0.4706      0.4644      0.4590      0.4536      0.4428    
    9.120  0.5086      0.5022      0.4976      0.4916      0.4814    
   10.232  0.5446      0.5390      0.5342      0.5278      0.5184    
   11.455  0.5784      0.5736      0.5690      0.5620      0.5534    
   12.800  0.6096      0.6062      0.6018      0.5940      0.5864    
   14.281  0.6386      0.6370      0.6328      0.6240      0.6174    
   15.909  0.6658      0.6658      0.6616      0.6528      0.6464    
   17.699  0.6910      0.6926      0.6886      0.6802      0.6734    
   19.669  0.7142      0.7176      0.7138      0.7058      0.6986    
   21.836  0.7372      0.7408      0.7372      0.7296      0.7218    
   24.220  0.7592      0.7622      0.7586      0.7518      0.7432    
   26.842  0.7798      0.7818      0.7784      0.7722      0.7630    
   29.726  0.7988      0.7998      0.7966      0.7912      0.7814    
   32.899  0.8160      0.8162      0.8128      0.8084      0.7998    
   36.389  0.8320      0.8308      0.8272      0.8240      0.8166    
   40.228  0.8462      0.8438      0.8398      0.8380      0.8320    
   44.450  0.8594      0.8548      0.8508      0.8502      0.8462    
   49.095  0.8708      0.8638      0.8612      0.8606      0.8586    
   54.205  0.8804      0.8752      0.8752      0.8700      0.8696    
   59.825  0.8880      0.8882      0.8874      0.8832      0.8788    
   66.008  0.8950      0.8992      0.8976      0.8942      0.8880    
   72.809  0.9070      0.9076      0.9050      0.9030      0.8986    
   80.289  0.9166      0.9134      0.9094      0.9094      0.9074    
   88.519  0.9228      0.9158      0.9172      0.9140      0.9138    
   97.570  0.9262      0.9270      0.9268      0.9242      0.9196    
  107.527  0.9312      0.9342      0.9318      0.9302      0.9278    
  118.480  0.9408      0.9358      0.9340      0.9322      0.9328    
  130.528  0.9440      0.9430      0.9432      0.9414      0.9382    
  143.781  0.9472      0.9476      0.9430      0.9426      0.9430    
  158.359  0.9530      0.9508      0.9516      0.9502      0.9478    
  174.395  0.9550      0.9540      0.9524      0.9524      0.9496    
  192.034  0.9584      0.9598      0.9562      0.9548      0.9548    
  211.438  0.9630      0.9622      0.9610      0.9590      0.9586    
  232.782  0.9662      0.9648      0.9632      0.9610      0.9610    
  256.260  0.9684      0.9680      0.9642      0.9658      0.9644    
  282.086  0.9678      0.9668      0.9692      0.9670      0.9664    
  310.494  0.9728      0.9708      0.9716      0.9690      0.9688    
  341.744  0.9734      0.9730      0.9718      0.9728      0.9716    
  376.118  0.9756      0.9756      0.9754      0.9736      0.9738    
  413.930  0.9774      0.9770      0.9754      0.9756      0.9756    
  455.523  0.9788      0.9774      0.9780      0.9772      0.9772    
  501.275  0.9796      0.9794      0.9796      0.9788      0.9786    
  551.603  0.9808      0.9812      0.9804      0.9804      0.9800    
          50.      60.      70.      80.      90.
    0.200      0.          0.          0.          0.          0.    
    0.420  0.8314E-05  0.5326E-05  0.3124E-05  0.1481E-05  0.4382E-06
    0.662  0.4526E-03  0.3270E-03  0.2250E-03  0.1386E-03  0.7874E-04
    0.928  0.3174E-02  0.2482E-02  0.1848E-02  0.1273E-02  0.8180E-03
    1.221  0.1057E-01  0.8648E-02  0.6768E-02  0.5008E-02  0.3468E-02
    1.543  0.2414E-01  0.2036E-01  0.1655E-01  0.1282E-01  0.9390E-02
    1.897  0.4428E-01  0.3828E-01  0.3202E-01  0.2568E-01  0.1960E-01
